ISO3,country,surface_area,region,continent,elevation
AFG,Afghanistan,652860.0,Southern Asia,Asia,1885.0
ALB,Albania,28750.0,Southern Europe,Europe,708.0
DZA,Algeria,2381740.0,Northern Africa,Africa,800.0
ASM,American Samoa,200.0,Polynesia,Oceania,
AND,Andorra,470.0,Southern Europe,Europe,1996.0
AGO,Angola,1246700.0,Middle Africa,Africa,1112.0
AIA,Anguila,,Caribbean,North America,
ATG,Antigua and Barbuda,440.0,Caribbean,North America,
ARG,Argentina,2780400.0,South America,South America,595.0
ARM,Armenia,29740.0,Western Asia,Asia,1792.0
ABW,Aruba,180.0,Caribbean,North America,
AUS,Australia,7741220.0,Australia and New Zealand,Oceania,330.0
AUT,Austria,83879.00390625,Western Europe,Europe,910.0
AZE,Azerbaijan,86600.0,Western Asia,Asia,
BHS,"Bahamas, The",13880.0,Caribbean,North America,
BHR,Bahrain,761.999969482422,Western Asia,Asia,
BGD,Bangladesh,148460.0,Southern Asia,Asia,
BRB,Barbados,430.0,Caribbean,North America,
BLR,Belarus,207600.0,Eastern Europe,Europe,170.0
BEL,Belgium,30530.0,Western Europe,Europe,181.0
BLX,Belgium-Luxembourg,,,,
BLZ,Belize,22970.0,Central America,North America,173.0
BEN,Benin,114760.0,Western Africa,Africa,
BMU,Bermuda,54.0000009536743,Northern America,North America,
BTN,Bhutan,38393.9990234375,Southern Asia,Asia,2220.0
BOL,Bolivia,1098580.0,South America,South America,
BIH,Bosnia and Herzegovina,51210.0,Southern Europe,Europe,500.0
BWA,Botswana,581730.0,Southern Africa,Africa,1013.0
BAT,Br. Antr. Terr,,,,
BRA,Brazil,8515770.0,South America,South America,320.0
IOT,British Indian Ocean Ter.,,Eastern Africa,Africa,
VGB,British Virgin Islands,150.0,Caribbean,North America,
BRN,Brunei,,South-eastern Asia,Asia,
BGR,Bulgaria,111000.0,Eastern Europe,Europe,470.0
BFA,Burkina Faso,274220.0,Western Africa,Africa,
BDI,Burundi,27830.0,Eastern Africa,Africa,
KHM,Cambodia,181040.0,South-eastern Asia,Asia,126.0
CMR,Cameroon,475440.0,Middle Africa,Africa,667.0
CAN,Canada,9984670.0,Northern America,North America,487.0
CPV,Cape Verde,,Western Africa,Africa,
CYM,Cayman Islands,263.999996185303,Caribbean,North America,
CAF,Central African Republic,622980.0,Middle Africa,Africa,
TCD,Chad,1284000.0,Middle Africa,Africa,543.0
CHL,Chile,756096.015625,South America,South America,1870.0
CHN,China,9562911.25,Eastern Asia,Asia,1840.0
CXR,Christmas Island,,Australia and New Zealand,Oceania,
CCK,Cocos (Keeling) Islands,,Australia and New Zealand,Oceania,
COL,Colombia,1141750.0,South America,South America,593.0
COM,Comoros,1861.00006103516,Eastern Africa,Africa,
COD,"Congo, Dem. Rep.",2344860.0,Middle Africa,Africa,
COG,"Congo, Rep.",342000.0,Middle Africa,Africa,
COK,Cook Islands,,Polynesia,Oceania,
CRI,Costa Rica,51100.0,Central America,North America,746.0
CIV,Cote d'Ivoire,322460.0,Western Africa,Africa,
HRV,Croatia,56590.0,Southern Europe,Europe,331.0
CUB,Cuba,109880.0,Caribbean,North America,108.0
CYP,Cyprus,9250.0,Western Asia,Asia,91.0
CZE,Czech Republic,78870.0,Eastern Europe,Europe,433.0
CSK,Czechoslovakia,,,,
DNK,Denmark,43090.0,Northern Europe,Europe,34.0
DJI,Djibouti,23200.0,Eastern Africa,Africa,
DMA,Dominica,750.0,Caribbean,North America,
